year,month,fund_name,return
2016,01,中海混改红利混合,-0.022
2016,02,中海混改红利混合,-0.166
2016,03,中海混改红利混合,0.157
2016,04,中海混改红利混合,-0.056
2016,05,中海混改红利混合,-0.017
2016,06,中海混改红利混合,0.021
2016,07,中海混改红利混合,-0.052
2016,08,中海混改红利混合,0.0
2016,09,中海混改红利混合,-0.023
2016,10,中海混改红利混合,0.015
2016,11,中海混改红利混合,-0.006
2016,12,中海混改红利混合,-0.067
2017,01,中海混改红利混合,-0.015
2017,02,中海混改红利混合,0.006
2017,03,中海混改红利混合,0.061
2017,04,中海混改红利混合,0.005
2017,05,中海混改红利混合,-0.037
2017,06,中海混改红利混合,0.05
2017,07,中海混改红利混合,0.053
2017,08,中海混改红利混合,0.048
2017,09,中海混改红利混合,0.026
2017,10,中海混改红利混合,0.042
2017,11,中海混改红利混合,-0.038
2017,12,中海混改红利混合,0.023
2018,01,中海混改红利混合,0.052
2018,02,中海混改红利混合,-0.073
2018,03,中海混改红利混合,-0.004
2018,04,中海混改红利混合,-0.045
2018,05,中海混改红利混合,-0.044
2018,06,中海混改红利混合,-0.022
2018,07,中海混改红利混合,0.009
2018,08,中海混改红利混合,-0.004
2018,09,中海混改红利混合,-0.03
2018,10,中海混改红利混合,-0.063
2018,11,中海混改红利混合,0.013
2018,12,中海混改红利混合,-0.019
2019,01,中海混改红利混合,0.031
2019,02,中海混改红利混合,0.165
2019,03,中海混改红利混合,0.066
2019,04,中海混改红利混合,-0.03
2019,05,中海混改红利混合,-0.063
2019,06,中海混改红利混合,0.066
2019,07,中海混改红利混合,0.008
2019,08,中海混改红利混合,0.056
2019,09,中海混改红利混合,0.115
2019,10,中海混改红利混合,0.009
2019,11,中海混改红利混合,0.013
2019,12,中海混改红利混合,0.101
2020,01,中海混改红利混合,0.1
2020,02,中海混改红利混合,0.011
2020,03,中海混改红利混合,-0.143
2020,04,中海混改红利混合,0.058
2020,05,中海混改红利混合,0.092
2020,06,中海混改红利混合,0.104
2020,07,中海混改红利混合,0.307
2020,08,中海混改红利混合,-0.086
2020,09,中海混改红利混合,-0.123
2020,10,中海混改红利混合,-0.044
2020,11,中海混改红利混合,-0.001
2020,12,中海混改红利混合,0.151
2021,01,中海混改红利混合,0.086
2021,02,中海混改红利混合,-0.119
2021,03,中海混改红利混合,-0.023
2021,04,中海混改红利混合,0.152
2021,05,中海混改红利混合,0.107
2021,06,中海混改红利混合,0.047
2021,07,中海混改红利混合,0.121
2021,08,中海混改红利混合,-0.116
2021,09,中海混改红利混合,-0.014
2021,10,中海混改红利混合,0.027
2021,11,中海混改红利混合,0.184
2021,12,中海混改红利混合,-0.187
2022,01,中海混改红利混合,-0.328
2022,02,中海混改红利混合,0.13
2022,03,中海混改红利混合,-0.153
2022,04,中海混改红利混合,-0.222
2022,05,中海混改红利混合,0.138
2022,06,中海混改红利混合,0.053
2022,07,中海混改红利混合,-0.038
2022,08,中海混改红利混合,0.04
2022,09,中海混改红利混合,-0.123
2022,10,中海混改红利混合,0.03
2022,11,中海混改红利混合,-0.083
2022,12,中海混改红利混合,-0.098
2023,01,中海混改红利混合,0.049
2023,02,中海混改红利混合,-0.025
2023,03,中海混改红利混合,0.031
