,FundCode,FundName,TradingDay,NetWorth
0,017559,华安上证科创板芯片ETF发起式联接A,2023-01-03,1.0099
1,017559,华安上证科创板芯片ETF发起式联接A,2023-01-04,1.0037
2,017559,华安上证科创板芯片ETF发起式联接A,2023-01-05,1.0129
3,017559,华安上证科创板芯片ETF发起式联接A,2023-01-06,1.0095
4,017559,华安上证科创板芯片ETF发起式联接A,2023-01-09,1.0124
5,017559,华安上证科创板芯片ETF发起式联接A,2023-01-10,1.0211
6,017559,华安上证科创板芯片ETF发起式联接A,2023-01-11,1.0095
7,017559,华安上证科创板芯片ETF发起式联接A,2023-01-12,1.0051
8,017559,华安上证科创板芯片ETF发起式联接A,2023-01-13,1.0036
9,017559,华安上证科创板芯片ETF发起式联接A,2023-01-16,1.0306
10,017559,华安上证科创板芯片ETF发起式联接A,2023-01-17,1.0604
11,017559,华安上证科创板芯片ETF发起式联接A,2023-01-18,1.0573
12,017559,华安上证科创板芯片ETF发起式联接A,2023-01-19,1.0835
13,017559,华安上证科创板芯片ETF发起式联接A,2023-01-20,1.0824
14,017559,华安上证科创板芯片ETF发起式联接A,2023-01-30,1.0745
15,017559,华安上证科创板芯片ETF发起式联接A,2023-01-31,1.0506
16,017559,华安上证科创板芯片ETF发起式联接A,2023-02-01,1.0711
17,017559,华安上证科创板芯片ETF发起式联接A,2023-02-02,1.0883
18,017559,华安上证科创板芯片ETF发起式联接A,2023-02-03,1.0907
19,017559,华安上证科创板芯片ETF发起式联接A,2023-02-06,1.0823
20,017559,华安上证科创板芯片ETF发起式联接A,2023-02-07,1.0761
21,017559,华安上证科创板芯片ETF发起式联接A,2023-02-08,1.0648
22,017559,华安上证科创板芯片ETF发起式联接A,2023-02-09,1.1089
23,017559,华安上证科创板芯片ETF发起式联接A,2023-02-10,1.1048
24,017559,华安上证科创板芯片ETF发起式联接A,2023-02-13,1.1134
25,017559,华安上证科创板芯片ETF发起式联接A,2023-02-14,1.1101
26,017559,华安上证科创板芯片ETF发起式联接A,2023-02-15,1.127
27,017559,华安上证科创板芯片ETF发起式联接A,2023-02-16,1.099
28,017559,华安上证科创板芯片ETF发起式联接A,2023-02-17,1.0695
29,017559,华安上证科创板芯片ETF发起式联接A,2023-02-20,1.0792
30,017559,华安上证科创板芯片ETF发起式联接A,2023-02-21,1.073
31,017559,华安上证科创板芯片ETF发起式联接A,2023-02-22,1.0776
32,017559,华安上证科创板芯片ETF发起式联接A,2023-02-23,1.0721
33,017559,华安上证科创板芯片ETF发起式联接A,2023-02-24,1.0738
34,017559,华安上证科创板芯片ETF发起式联接A,2023-02-27,1.0593
35,017559,华安上证科创板芯片ETF发起式联接A,2023-02-28,1.0615
36,017559,华安上证科创板芯片ETF发起式联接A,2023-03-01,1.0726
37,017559,华安上证科创板芯片ETF发起式联接A,2023-03-02,1.0646
38,017559,华安上证科创板芯片ETF发起式联接A,2023-03-03,1.0906
